normalized_title	original_title	identifier	path
iftle 634 micron invests onshore tsmc copos	IFTLE 634: Micron Invests Onshore; TSMC CoPoS	https://www.3dincites.com/2025/07/iftle-634-micron-invests-onshore-tsmc-copos/	raw/articles/2025-07-01_3dincites_micron-onshore-investment-tsmc-copos.md
iftle 636 samsung s approach to silicon bridges micron hbm packaging planned for virginia	IFTLE 636: Samsung's Approach to Silicon Bridges; Micron HBM Packaging Planned for Virginia	https://www.3dincites.com/2025/08/iftle-636-samsungs-approach-to-silicon-bridges-micron-hbm-packaging-planned-for-virginia/	raw/articles/2025-08-05_3dincites_iftle636-samsung-silicon-bridges-micron-virginia.md
scaling the memory wall the rise and roadmap of hbm	Scaling the Memory Wall: The Rise and Roadmap of HBM	https://semianalysis.com/2025/08/12/scaling-the-memory-wall-the-rise-and-roadmap-of-hbm/	raw/articles/2025-08-12_semianalysis_hbm-roadmap.md
ucie 3 0 specification redefining chiplet interconnects	UCIe 3.0 Specification: Redefining Chiplet Interconnects	https://www.uciexpress.org/post/ucie-3-0-specification-redefining-chiplet-interconnects	raw/articles/2025-09-03_uciexpress_ucie30-spec-redefining-chiplet-interconnects.md
foplp trial yields reportedly reach 90 at powertech as tsmc advances copos development	FOPLP Trial Yields Reportedly Reach 90% at Powertech as TSMC Advances CoPoS Development	https://www.trendforce.com/news/2025/09/12/news-foplp-trial-yields-reportedly-reach-90-at-powertech-as-tsmc-advances-copos-development/	raw/articles/2025-09-12_trendforce_foplp-competitive-landscape-2025.md
stmicroelectronics joins panel level packaging race with new french pilot line launching 3q 2026	STMicroelectronics Joins Panel-Level Packaging Race with New French Pilot Line, Launching 3Q 2026	https://www.trendforce.com/news/2025/09/19/news-stmicroelectronics-joins-panel-level-packaging-race-with-new-french-pilot-line-launching-3q-2026/	raw/articles/2025-09-19_trendforce_stmicro-panel-level-packaging-france.md
through the glass why the rapid development of tgv demands rigorous analysis	Through the Glass: Why the Rapid Development of TGV Demands Rigorous Analysis	https://ontoinnovation.com/resources/through-the-glass-why-the-rapid-development-of-tgv-demands-rigorous-analysis/	raw/articles/2025-10-06_onto_tgv-metrology-rigorous-analysis.md
hybrid bonder market could hit 2b by 2028 as korean makers push next gen hbm tools	Hybrid Bonder Market Could Hit $2B by 2028 as Korean Makers Push Next-Gen HBM Tools	https://www.trendforce.com/news/2025/10/07/news-hybrid-bonder-equipment-market-reportedly-near-2b-by-2028-as-korean-makers-race-to-next-gen-hbm-tools/	raw/articles/2025-10-07_trendforce_hybrid-bonder-market-2b-2028.md
iftle 648 unimicron glass core substrates and hybrid bonding	IFTLE 648: Unimicron Glass Core Substrates and Hybrid Bonding	https://www.3dincites.com/2025/12/iftle-648-unimicron-glass-core-substrates-and-hybrid-bonding/	raw/articles/2025-12-01_3dincites_iftle-648-unimicron-glass-hybrid-bonding.md
intel reportedly taps amkor s songdo facility for emib packaging in first ever outsourcing move	Intel Reportedly Taps Amkor's Songdo Facility for EMIB Packaging in First-Ever Outsourcing Move	https://www.trendforce.com/news/2025/12/01/news-intel-reportedly-taps-amkors-songdo-facility-for-emib-packaging-in-first-ever-outsourcing-move/	raw/articles/2025-12-01_trendforce_intel-amkor-songdo-emib-outsourcing.md
tsmc speeds advanced packaging ap7 targets 2026 output arizona p6 eyed for u s packaging hub	TSMC Speeds Advanced Packaging: AP7 Targets 2026 Output; Arizona P6 Eyed for U.S. Packaging Hub	https://www.trendforce.com/news/2025/12/04/news-tsmc-speeds-advanced-packaging-ap7-targets-2026-output-arizona-p6-eyed-for-u-s-packaging-hub/	raw/articles/2025-12-04_trendforce_tsmc-ap7-arizona-p6-us-hub.md
tsmc s cowos l s reportedly fully booked osat partners step up with ase s cowop in focus	TSMC's CoWoS-L/S Reportedly Fully Booked, OSAT Partners Step Up with ASE's CoWoP in Focus	https://www.trendforce.com/news/2025/12/08/news-tsmcs-cowos-l-s-reportedly-fully-booked-osat-partners-step-up-with-ases-cowop-in-focus/	raw/articles/2025-12-08_trendforce_cowos-full-booked-ase-cowop.md
apple reportedly to bring wmcm packaging to a20 series boosting iphone 18 thermal efficiency	Apple Reportedly to Bring WMCM Packaging to A20 Series, Boosting iPhone 18 Thermal Efficiency	https://www.trendforce.com/news/2025/12/18/news-apple-reportedly-to-bring-wmcm-packaging-to-a20-series-boosting-iphone-18-thermal-efficiency/	raw/articles/2025-12-18_trendforce_apple-wmcm-a20-iphone18.md
micron hikes capex to 20b with 2026 hbm supply fully booked hbm4 ramps 2q26	Micron Hikes CapEx to $20B with 2026 HBM Supply Fully Booked; HBM4 Ramps 2Q26	https://www.trendforce.com/news/2025/12/18/news-micron-hikes-capex-to-20b-with-2026-hbm-supply-fully-booked-hbm4-ramps-2q26/	raw/articles/2025-12-18_trendforce_micron-capex-20b-hbm4-ramp-2q26.md
iftle 651 intel and amkor join forces for emib	IFTLE 651: Intel and Amkor Join Forces for EMIB	https://www.3dincites.com/2025/12/iftle-651-intel-and-amkor-join-forces-for-emib/	raw/articles/2025-12-22_3dincites_intel-amkor-emib-hvm-partnership.md
dnp advances tgv glass substrates eyes early 2026 sample shipments fy2028 mass production	DNP Advances TGV Glass Substrates, Eyes Early-2026 Sample Shipments, FY2028 Mass Production	https://www.trendforce.com/news/2025/12/22/news-dnp-accelerates-tgv-glass-substrate-push-with-late-2025-pilot-line-early-2026-sample-shipments/	raw/articles/2025-12-22_trendforce_dnp-tgv-glass-substrate-2026.md
samsung reportedly plans 50 hbm capacity surge in 2026 spotlight on hbm4	Samsung Reportedly Plans 50% HBM Capacity Surge in 2026, Spotlight on HBM4	https://www.trendforce.com/news/2025/12/30/news-samsung-reportedly-plans-50-hbm-capacity-surge-in-2026-spotlight-on-hbm4	raw/articles/2025-12-30_trendforce_samsung-50pct-hbm-capacity-surge.md
navigating heat in advanced packaging	Navigating Heat In Advanced Packaging	https://semiengineering.com/navigating-heat-in-advanced-packaging/	raw/articles/2026-01-01_semiengineering_thermal-management-advanced-packaging.md
sk hynix 2026 outlook hbm3e dominates hbm4 dual strategy amid 3 market headwinds	SK hynix 2026 Outlook: HBM3E Dominates, HBM4 Dual Strategy Amid 3 Market Headwinds	https://www.trendforce.com/news/2026/01/05/news-sk-hynix-2026-outlook-hbm3e-remains-mainstream-hbm4-dual-strategy-amid-triple-market-headwinds/	raw/articles/2026-01-05_trendforce_sk-hynix-2026-hbm4-outlook.md
nvidia fuels hbm4 race 12 layer ramps 16 layer push by sk hynix samsung and micron	NVIDIA Fuels HBM4 Race: 12-Layer Ramps, 16-Layer Push by SK Hynix, Samsung, and Micron	https://www.trendforce.com/news/2026/01/09/news-nvidia-demand-fuels-hbm4-race-12-layer-ramps-16-layer-push-by-sk-hynix-samsung-and-micron/	raw/articles/2026-01-09_trendforce_nvidia-hbm4-12layer-16layer.md
tsmc may reallocate select 45 90nm mature node capacity to cowos related production	TSMC May Reallocate Select 45–90nm Mature-Node Capacity to CoWoS-Related Production	https://www.trendforce.com/news/2026/01/12/news-tsmc-may-reallocate-select-45-90nm-mature-node-capacity-to-cowos-related-production/	raw/articles/2026-01-12_trendforce_tsmc-mature-node-reallocation-cowos.md
hbm4 sticks with microbumps postponing hybrid bonding	HBM4 Sticks With Microbumps, Postponing Hybrid Bonding	https://semiengineering.com/hbm4-sticks-with-microbumps-postponing-hybrid-bonding/	raw/articles/2026-01-13_semieng_hbm4-sticks-microbumps-postponing-hybrid-bonding.md
hbm4 sticks with microbumps postponing hybrid bonding	HBM4 Sticks With Microbumps, Postponing Hybrid Bonding	https://semiengineering.com/hbm4-sticks-with-microbumps-postponing-hybrid-bonding/	raw/articles/2026-01-13_semiengineering_hbm4-microbumps-postponing-hybrid-bonding.md
sk hynix may stick with mr muf for hbm4 16 high amid fluxless bonding evaluation	SK hynix May Stick With MR-MUF for HBM4 16-High amid Fluxless Bonding Evaluation	https://www.trendforce.com/news/2026/01/13/news-sk-hynix-may-stick-with-mr-muf-for-hbm4-16-high-despite-asmpt-tc-bonder-orders/	raw/articles/2026-01-13_trendforce_sk-hynix-mr-muf-hbm4-16h.md
tsmc reportedly expands wmcm packaging for apple capacity may more than double by 2027	TSMC Reportedly Expands WMCM Packaging for Apple, Capacity May More Than Double by 2027	https://www.trendforce.com/news/2026/01/20/news-tsmc-reportedly-expands-wmcm-packaging-for-apple-capacity-may-more-than-double-by-2027/	raw/articles/2026-01-20_trendforce_tsmc-wmcm-apple-capacity-double-2027.md
tsmc reportedly expands wmcm packaging for apple capacity may more than double by 2027	TSMC Reportedly Expands WMCM Packaging for Apple, Capacity May More Than Double by 2027	https://www.trendforce.com/news/2026/01/20/news-tsmc-reportedly-expands-wmcm-packaging-for-apple-capacity-may-more-than-double-by-2027/	raw/articles/2026-01-20_trendforce_tsmc-wmcm-capacity-double-apple.md
tsmc advanced packaging capex projected to grow 24 cagr in 2025 27 ap7 eyes wmcm copos	TSMC Advanced Packaging CapEx Projected to Grow 24% CAGR in 2025–27; AP7 Eyes WMCM, CoPoS	https://www.trendforce.com/news/2026/01/21/news-tsmc-advanced-packaging-capex-projected-to-grow-24-cagr-in-2025-27-chiayi-ap7-targets-wmcm-and-copos/	raw/articles/2026-01-21_trendforce_tsmc-ap-capex-ap7-copos.md
chip tool giants accelerate advanced packaging push led by asml tokyo electron and others	Chip Tool Giants Accelerate Advanced Packaging Push, Led by ASML, Tokyo Electron, and Others	https://www.trendforce.com/news/2026/01/23/news-chip-tool-giants-accelerate-advanced-packaging-push-led-by-asml-tokyo-electron-and-others/	raw/articles/2026-01-23_trendforce_chip-tool-giants-tel-asml-packaging.md
samsung s custom hbm4e design reportedly aimed for mid 2026 parallels sk hynix and micron	Samsung's Custom HBM4E Design Reportedly Aimed for Mid-2026, Parallels SK Hynix and Micron	https://www.trendforce.com/news/2026/01/23/news-samsungs-custom-hbm4e-design-reportedly-aimed-for-mid-2026-parallels-sk-hynix-and-micron/	raw/articles/2026-01-23_trendforce_hbm4e-samsung-skhynix-mid2026.md
intel reportedly presents first thick core glass substrate with emib targeting ai data centers	Intel Reportedly Presents First Thick-Core Glass Substrate with EMIB, Targeting AI Data Centers	https://www.trendforce.com/news/2026/01/26/news-intel-reportedly-presents-first-thick-core-glass-substrate-with-emib-targeting-ai-data-centers/	raw/articles/2026-01-26_trendforce_intel-glass-substrate-emib-ai-datacenter.md
sk hynix reportedly to supply about two thirds of nvidia hbm4 samsung targets early delivery	SK hynix Reportedly to Supply About Two-Thirds of NVIDIA HBM4; Samsung Targets Early Delivery	https://www.trendforce.com/news/2026/01/28/news-sk-hynix-reportedly-to-supply-about-two-thirds-of-nvidia-hbm4-samsung-targets-early-delivery/	raw/articles/2026-01-28_trendforce_skhynix-two-thirds-nvidia-hbm4-samsung-counteroffensive.md
emib challenges test intel amid buzz of nvidia considering 14a 18a and advanced packaging	EMIB Challenges Test Intel amid Buzz of NVIDIA Considering 14A/18A and Advanced Packaging	https://www.trendforce.com/news/2026/01/29/news-emib-challenges-test-intel-amid-buzz-of-nvidia-considering-14a18a-and-packaging/	raw/articles/2026-01-29_trendforce_emib-challenges-nvidia-14a-18a.md
intel shows off leading edge tech with massive ai processor test vehicle huge chip features four logic tiles 12 hbm4 stacks and 8x reticle size	Intel shows off leading-edge tech with massive AI processor test vehicle — huge chip features four logic tiles, 12 HBM4 stacks, and 8X reticle size	https://www.tomshardware.com/tech-industry/semiconductors/intel-shows-off-leading-edge-tech-with-massive-ai-processor-test-vehicle-huge-chip-features-four-logic-tiles-12-hbm4-stacks-and-8x-reticle-size	raw/articles/2026-01-30_tomshardware_intel-ai-chip-test-vehicle-8x-reticle-hbm4.md
ucie s major technical components are now in place	UCIe's Major Technical Components Are Now In Place	https://semiengineering.com/ucies-major-technical-components-are-now-in-place/	raw/articles/2026-02-12_semieng_ucie-3-0-major-technical-components.md
isscc 2026 nvidia broadcom cpo hbm4 lpddr6 tsmc active lsi logic based sram ucie s and more	ISSCC 2026: NVIDIA & Broadcom CPO, HBM4 & LPDDR6, TSMC Active LSI, Logic-Based SRAM, UCIe-S and More	https://newsletter.semianalysis.com/p/isscc-2026-nvidia-and-broadcom-cpo	raw/articles/2026-02-15_semianalysis_isscc2026-hbm4-cpo-tsmc-alsi-ucies.md
samsung hanwha set sights on hybrid bonding packaging tech critical to advanced ai chips	Samsung, Hanwha set sights on hybrid bonding; packaging tech critical to advanced AI chips	https://www.kedglobal.com/korean-chipmakers/newsView/ked202602200004	raw/articles/2026-02-20_kedglobal_samsung-semes-hanwha-hybrid-bonder-development.md
hanwha semitech unveils 2nd generation hybrid bonder	Hanwha Semitech unveils 2nd-generation hybrid bonder	https://www.koreaherald.com/article/10682137	raw/articles/2026-02-25_koreaherald_hanwha-semitech-shb2-nano-0.1um-hybrid-bonder.md
sk hynix reportedly develops hbm4 system level testing equipment deepens tsmc collaboration	SK hynix Reportedly Develops HBM4 System-Level Testing Equipment, Deepens TSMC Collaboration	https://www.trendforce.com/news/2026/02/25/news-sk-hynix-reportedly-develops-hbm4-system-level-testing-equipment-deepens-tsmc-collaboration/	raw/articles/2026-02-25_trendforce_sk-hynix-hbm4-slt-tsmc-collab.md
memory giants hbm cleanroom race samsung sk hynix fast track micron acquires	Memory Giants' HBM Cleanroom Race: Samsung & SK hynix Fast-Track, Micron Acquires	https://www.trendforce.com/news/2026/02/26/news-memory-giants-hbm-cleanroom-race-samsung-sk-hynix-fast-track-micron-acquires/	raw/articles/2026-02-26_trendforce_hbm-cleanroom-race-samsung-skhynix-micron.md
besi at the center of the packaging power shift	BESI at the Center of the Packaging Power Shift	https://www.3dincites.com/2026/03/besi-at-the-center-of-the-packaging-power-shift/	raw/articles/2026-03-01_3dincites_besi-packaging-power-shift.md
summary of ectc 2025 special session on hybrid bonding	Summary of ECTC 2025 Special Session on Hybrid Bonding	https://eps.ieee.org/wp-content/uploads/2026/03/EM_Hybrid-Bonding_Apr26.pdf	raw/articles/2026-03-01_ieee-eps_ectc2025-hybrid-bonding-special-session.md
cpus are back the datacenter cpu landscape in 2026	CPUs are Back: The Datacenter CPU Landscape in 2026	https://newsletter.semianalysis.com/p/cpus-are-back-the-datacenter-cpu	raw/articles/2026-03-01_semianalysis_cpus-back-datacenter-2026.md
making hybrid bonding better	Making Hybrid Bonding Better	https://semiengineering.com/making-hybrid-bonding-better/	raw/articles/2026-03-02_semieng_making-hybrid-bonding-better.md
intel unveils xeon 6 clearwater forest at mwc with 18a chiplet design and foveros direct 3d	Intel Unveils Xeon 6+ Clearwater Forest at MWC with 18A Chiplet Design and Foveros Direct 3D	https://www.trendforce.com/news/2026/03/03/news-intel-unveils-xeon-6-clearwater-forest-at-mwc-with-18a-chiplet-design-and-foveros-direct-3d/	raw/articles/2026-03-03_trendforce_intel-clearwater-forest-foveros-direct.md
sk hynix reportedly explores new hbm4 packaging boosting performance via tight dram gaps	SK hynix Reportedly Explores New HBM4 Packaging, Boosting Performance via Tight DRAM Gaps	https://www.trendforce.com/news/2026/03/03/news-sk-hynix-reportedly-explores-new-hbm4-packaging-boosting-performance-via-tight-dram-gaps/	raw/articles/2026-03-03_trendforce_sk-hynix-hbm4-packaging-tight-dram-gaps.md
skc reportedly channels over half of 1t capital increase into absolics to fast track glass substrates	SKC Reportedly Channels Over Half of ₩1T Capital Increase Into Absolics to Fast-Track Glass Substrates	https://www.trendforce.com/news/2026/03/03/news-skc-reportedly-channels-over-half-of-%e2%82%a91t-capital-increase-into-absolics-to-fast-track-glass-substrates/	raw/articles/2026-03-03_trendforce_skc-absolics-glass-substrate-1t-investment.md
intel reportedly reconsiders 18a for external use hinting emib could generate billions by 2h26	Intel Reportedly Reconsiders 18A for External Use, Hinting EMIB Could Generate Billions by 2H26	https://www.trendforce.com/news/2026/03/05/news-intel-reportedly-reconsiders-18a-for-external-use-hinting-emib-could-generate-billions-by-2h26/	raw/articles/2026-03-05_trendforce_intel-emib-18a-external-billions.md
chiplet summit 2026 ucie momentum across a growing ecosystem	Chiplet Summit 2026: UCIe Momentum Across a Growing Ecosystem	https://www.uciexpress.org/post/chiplet-summit-2026-ucie-momentum-across-a-growing-ecosystem	raw/articles/2026-03-05_uciexpress_chiplet-summit-2026-ucie-momentum.md
hybrid bonding leader besi reportedly draws takeover interest lam applied materials rumored	Hybrid Bonding Leader BESI Reportedly Draws Takeover Interest; Lam, Applied Materials Rumored	https://www.trendforce.com/news/2026/03/13/news-hybrid-bonding-leader-besi-reportedly-draws-takeover-interest-lam-applied-materials-rumored/	raw/articles/2026-03-13_trendforce_besi-takeover-interest-lam-amat.md
coherent demonstrates multiple technologies for co packaged optics cpo at ofc 2026	Coherent Demonstrates Multiple Technologies for Co-packaged Optics (CPO) at OFC 2026	https://www.coherent.com/news/press-releases/coherent-co-packaged-optics-cpo-technologies-ofc-2026	raw/articles/2026-03-17_coherent_cpo-ofc2026-demo.md
key gtc takeaways how samsung micron intel more power nvidia s vera rubin and feynman	Key GTC Takeaways: How Samsung, Micron, Intel & More Power NVIDIA's Vera Rubin and Feynman	https://www.trendforce.com/news/2026/03/17/news-key-gtc-takeaways-how-samsung-micron-intel-more-power-nvidias-vera-rubin-and-feynman/	raw/articles/2026-03-17_trendforce_gtc2026-key-takeaways-rubin-feynman.md
intel ramps up advanced packaging malaysia complex operational in 2026 emib update	Intel Ramps Up Advanced Packaging: Malaysia Complex Operational in 2026, EMIB Update	https://www.trendforce.com/news/2026/03/18/news-intel-ramps-up-advanced-packaging-malaysia-complex-operational-in-2026-emib-update/	raw/articles/2026-03-18_trendforce_intel-malaysia-emib-update.md
nvidia rubin ultra and feynman reportedly to boost tsmc soic besi applied materials tel to benefit	NVIDIA Rubin Ultra and Feynman Reportedly to Boost TSMC SoIC; Besi, Applied Materials, TEL to Benefit	https://www.trendforce.com/news/2026/03/18/news-nvidia-rubin-ultra-and-feynman-reportedly-to-boost-tsmc-soic-besi-applied-materials-tel-to-benefit/	raw/articles/2026-03-18_trendforce_nvidia-rubin-feynman-boost-soic-besi-amat-tel.md
advanced packaging limits come into focus	Advanced Packaging Limits Come Into Focus	https://semiengineering.com/advanced-packaging-limits-come-into-focus/	raw/articles/2026-03-19_semieng_advanced-packaging-limits.md
2026 ieee electronic components and technology conference to feature a keynote address by dr tien wu	2026 IEEE Electronic Components and Technology Conference To Feature a Keynote Address by Dr. Tien Wu	https://www.semiconductor-digest.com/2026-ieee-electronic-components-and-technology-conference-to-feature-a-keynote-address-by-dr-tien-wu/	raw/articles/2026-03-20_semiconductor-digest_ectc2026-keynote-tien-wu.md
asml reportedly eyes hybrid bonding equipment precision edge may reshape advanced packaging landscape	ASML Reportedly Eyes Hybrid Bonding Equipment, Precision Edge May Reshape Advanced Packaging Landscape	https://www.trendforce.com/news/2026/03/23/news-asml-reportedly-eyes-hybrid-bonding-equipment-precision-edge-may-reshape-advanced-packaging-landscape/	raw/articles/2026-03-23_trendforce_asml-hybrid-bonding-equipment.md
musk s terafab vision raises questions over tsmc impact advanced packaging may be best entry point	Musk's Terafab Vision Raises Questions Over TSMC Impact; Advanced Packaging May be Best Entry Point	https://www.trendforce.com/news/2026/03/23/news-musks-terafab-vision-raises-questions-over-tsmc-impact-advanced-packaging-may-be-best-entry-point/	raw/articles/2026-03-23_trendforce_musk-terafab-tsmc-packaging.md
engineering copper grain structure for high yield hybrid bonding in 3d packaging	Engineering Copper Grain Structure for High-Yield Hybrid Bonding in 3D Packaging	https://www.3dincites.com/2026/03/engineering-copper-grain-structure-for-high-yield-hybrid-bonding-in-3d-packaging-2/	raw/articles/2026-03-27_3dincites_copper-grain-hybrid-bonding.md
chiplets 2026 where are we today	Chiplets 2026: Where Are We Today?	https://semiengineering.com/chiplets-2026-where-are-we-today/	raw/articles/2026-04-01_semiengineering_chiplets-2026-status.md
jedec reportedly plans to relax hbm height specs to 900 m potentially slowing hybrid bonding adoption	JEDEC Reportedly Plans to Relax HBM Height Specs to ~900µm, Potentially Slowing Hybrid Bonding Adoption	https://www.trendforce.com/news/2026/04/01/news-jedec-reportedly-plans-to-relax-hbm-height-specs-to-900%C2%B5m-potentially-slowing-hybrid-bonding-adoption/	raw/articles/2026-04-01_trendforce_jedec-hbm-height-relax-900um.md
nvidia s rubin ultra seen sticking to dual die design on packaging constraints tsmc 3nm demand intact	NVIDIA's Rubin Ultra Seen Sticking to Dual-Die Design on Packaging Constraints; TSMC 3nm Demand Intact	https://www.trendforce.com/news/2026/04/01/news-nvidias-rubin-ultra-seen-sticking-to-dual-die-design-on-packaging-constraints-tsmc-3nm-demand-intact/	raw/articles/2026-04-01_trendforce_nvidia-rubin-ultra-dual-die-packaging-constraints.md
intel reportedly in talks with google and amazon over advanced packaging major customers could take advantage of emib t later this year	Intel reportedly in talks with Google and Amazon over advanced packaging — major customers could take advantage of EMIB-T later this year	https://www.tomshardware.com/tech-industry/semiconductors/intel-reportedly-in-talks-with-google-and-amazon-over-advanced-packaging	raw/articles/2026-04-07_tomshardware_intel-google-amazon-packaging-talks.md
intel joins elon musk s terafab project	Intel Joins Elon Musk's TeraFab Project	https://www.tomshardware.com/tech-industry/semiconductors/intel-joins-elon-musks-terafab-project-intel-is-proud-to-join-the-terafab-project-with-spacex-xai-and-tesla-to-help-refactor-silicon-fab-technology	raw/articles/2026-04-07_tomshardware_intel-joins-terafab-packaging.md
intel advanced packaging reportedly gains traction vs tsmc as google amazon weigh emib adoption	Intel Advanced Packaging Reportedly Gains Traction vs. TSMC as Google, Amazon Weigh EMIB Adoption	https://www.trendforce.com/news/2026/04/07/news-intel-advanced-packaging-reportedly-gains-traction-vs-tsmc-as-google-amazon-weigh-emib-adoption/	raw/articles/2026-04-07_trendforce_intel-emib-google-amazon-packaging.md
intel advanced packaging reportedly gains traction vs tsmc as google amazon weigh emib adoption	Intel Advanced Packaging Reportedly Gains Traction vs. TSMC as Google, Amazon Weigh EMIB Adoption	https://www.trendforce.com/news/2026/04/07/news-intel-advanced-packaging-reportedly-gains-traction-vs-tsmc-as-google-amazon-weigh-emib-adoption/	raw/articles/2026-04-07_trendforce_intel-emib-google-amazon.md
intel foundry achieves breakthrough with world s thinnest gan chiplet technology	Intel Foundry Achieves Breakthrough with World's Thinnest GaN Chiplet Technology	https://www.3dincites.com/2026/04/intel-foundry-achieves-breakthrough-with-worlds-thinnest-gan-chiplet-technology/	raw/articles/2026-04-10_3dincites_intel-gan-chiplet-19um-300mm.md
hanmi semiconductor to launch second generation hybrid bonder by end of 2026	HANMI Semiconductor To Launch Second-Generation Hybrid Bonder by End of 2026	https://www.semiconductor-digest.com/hanmi-semiconductor-to-launch-second-generation-hybrid-bonder-by-end-of-2026/	raw/articles/2026-04-10_semiconductor-digest_hanmi-2nd-gen-hybrid-bonder-2029.md
samsung reportedly bets on vietnam with 4b chip packaging push amkor expands presence	Samsung Reportedly Bets on Vietnam with $4B Chip Packaging Push; Amkor Expands Presence	https://www.trendforce.com/news/2026/04/10/news-samsung-reportedly-bets-on-vietnam-with-4b-chip-packaging-push-amkor-expands-presence/	raw/articles/2026-04-10_trendforce_samsung-vietnam-4b-packaging-amkor.md
tsmc advances panel level packaging copos pilot line reportedly set for june completion 2028 29 ramp eyed	TSMC Advances Panel-Level Packaging, CoPoS Pilot Line Reportedly Set for June Completion, 2028–29 Ramp Eyed	https://www.trendforce.com/news/2026/04/13/news-tsmc-advances-panel-level-packaging-copos-pilot-line-reportedly-set-for-june-completion-2028-29-ramp-eyed/	raw/articles/2026-04-13_trendforce_copos-pilot-line-june-completion.md
sandisk reportedly eyes 2h26 hbf pilot line may advance previously announced timeline by half a year	SanDisk Reportedly Eyes 2H26 HBF Pilot Line; May Advance Previously Announced Timeline by Half a Year	https://www.trendforce.com/news/2026/04/13/news-sandisk-reportedly-eyes-2h26-hbf-pilot-line-may-advance-previously-announced-timeline-by-half-a-year/	raw/articles/2026-04-13_trendforce_sandisk-hbf-pilot-line-2h26.md
hbm4 strategies diverge samsung reportedly chases 80 1c dram yield while sk hynix trims shipments by 30	HBM4 Strategies Diverge: Samsung Reportedly Chases 80% 1c DRAM Yield While SK hynix Trims Shipments by 30%	https://www.trendforce.com/news/2026/04/15/news-hbm4-strategies-diverge-samsung-reportedly-chases-80-1c-dram-yield-while-sk-hynix-trims-shipments-by-30/	raw/articles/2026-04-15_trendforce_hbm4-strategies-diverge-samsung-yield-skhynix-trim.md
korea challenges intel on glass substrate standards as absolics samsung accelerate commercialization	Korea Challenges Intel on Glass Substrate Standards as Absolics, Samsung Accelerate Commercialization	https://www.trendforce.com/news/2026/04/15/news-korea-challenges-intel-on-glass-substrate-standards-as-absolics-samsung-accelerate-commercialization/	raw/articles/2026-04-15_trendforce_korea-intel-glass-substrate-standards-absolics-samsung.md
